# 5 label models x 6 published ordering policies, 200 seeds, beta=2.0. Scored against gold priority. Lower is better throughout.
policy,label_model,rho,lin_cost,conv_cost,rel_tardiness,wait_High,p95_High,worst_High,lang_spread_High,breach_rate,wait_Low,mean_wait,p95_Low,wait_Medium,p95_Medium
cmu-hsf,logpool,0.85,0.018834605769360364,0.0028007961693335063,4.6257164963264946e-05,1.0759821249794659,3.965187195232389,11.050942801901298,1.000841637764922,0.00015000000000000001,9.177951012426744,5.717845256481318,47.04438170840551,1.664222291427253,6.9187820439338426
apq,logpool,0.85,0.02508190704666925,0.0027147566617523283,2.743228391627289e-05,1.7868376252217706,5.6782250771702705,15.881693545072118,1.435474154872464,7.5e-05,7.741081461292477,5.676826317050512,30.801941606330573,3.5513511782182565,12.214121106172142
gcmu,logpool,0.85,0.021006148072819614,0.0018561596399697807,1.44752020088e-05,1.1999449658929713,4.1604404385057165,11.344230150970729,1.0575171408581192,3.5000000000000004e-05,8.517557329339434,5.673471691826769,35.997252834395525,2.5112912917785515,8.800072909212236
edd,logpool,0.85,0.019665946446929913,0.0022410686785742347,6.240422490989565e-05,1.2388685008572782,4.3932965679944305,17.11770540141091,1.3370408923087986,0.00015000000000000001,8.90633631544938,5.660897737439971,37.66009789275126,1.869925592042788,7.390060645766972
static-tier,stacked,0.85,0.02240970673671374,0.0043885875528868355,0.00032353226064016263,1.6678919779108938,5.7588787707963,28.764722530482057,2.236143807043031,0.00062,8.446083537071148,5.678936654705655,34.316506612097214,2.5099092116075927,10.893654894584209
cmu-hsf,stacked,0.85,0.01900666499383351,0.0026941965156542513,4.9329259031708655e-05,1.157454801326889,4.17729558329451,14.273441847180239,1.1656996924408634,0.00010999999999999999,9.16067777549359,5.708049261633796,50.29061078087548,1.6420331914458075,6.811003803250888
apq,stacked,0.85,0.025608656729060816,0.0033331430225456665,9.398235805341006e-05,1.9404866136184566,6.1521472731691915,21.38487351896255,1.7807056669588548,0.00027000000000000006,7.695971883407985,5.677607018981024,30.564976113085734,3.5808429073800117,12.287701810147196
gcmu,stacked,0.85,0.021745616638851183,0.002407628026636294,5.988404976375431e-05,1.3657223605114777,4.741291257716149,17.507369747754332,1.4131102861816323,0.00013000000000000002,8.426167734978234,5.676898163088586,34.784889361228515,2.6154885006819115,9.149787174186528
edd,stacked,0.85,0.020723131844552118,0.0032083247313936564,0.0001912763910442783,1.436135187974756,4.8521795335570275,24.509465390405413,1.8106043844233897,0.000415,8.75442836747686,5.668456641448485,36.28566824750267,2.070301239318995,8.272500404765642
fcfs,-,1.05,0.38071806938175023,0.6246831167863972,0.10049554288466846,52.4555655547495,99.29096187258283,108.62485678205107,16.218859650014863,0.08965500000000003,52.27585246457525,52.22459474754035,100.39517480186773,52.10959649367295,100.0880827815898
static-tier,marginal,1.05,0.16348070220278102,0.17234377282469077,0.021247973011121496,7.186002293368464,38.49667687712641,148.59640509048756,13.791517209875938,0.0196,84.47430587254519,52.27172488340138,164.94330318622687,14.88722746695854,111.90517105881753
cmu-hsf,marginal,1.05,0.12070624676212258,0.12292218370736191,0.02098904947437084,1.7991699459307227,5.13511067818977,20.687913331988984,1.566310446453559,0.03470500000000001,92.21868047012445,51.84984625294632,519.2245521437092,3.282951079306505,11.418054779303368
apq,marginal,1.05,0.20064347387124642,0.12279737939017284,0.011332685552356801,10.402185670751848,30.588088442497504,117.2768146753014,9.827124155739169,0.012385000000000002,75.80304621173093,52.25509383288045,150.1112378689333,27.286912433577132,78.21563258845362
gcmu,marginal,1.05,0.15530859476061035,0.08762991447745007,0.007979115059044896,4.525132389821847,12.751682175191455,102.58001920167146,7.059452146210971,0.00881,84.9710916865413,52.25069505423181,178.95307739867255,14.783479230446062,59.60449252257094
edd,marginal,1.05,0.15265854089598993,0.13980114568589272,0.016099934511616107,5.999259166870213,25.03461650010634,139.89067769107498,11.647153022238326,0.01427,86.72803406594535,52.237673679402086,171.4919815172408,11.652608562242204,86.09270554514457
static-tier,chain-intent,1.05,0.1656759863397005,0.18309960936978795,0.02307698239003134,7.831469800310118,46.23048848193083,152.3529503855424,15.863370926783277,0.020114999999999997,84.40090536241658,52.31560198665644,168.22569318041803,14.94622104786895,114.05314111269979
cmu-hsf,chain-intent,1.05,0.1249381490325537,0.18410674286675047,0.027541268103342138,2.5945718702532847,5.415820806803722,88.41545540352537,5.218578372579168,0.035625,93.09256106618417,52.48935524744904,544.6197081100305,3.539125847148111,12.388155417506805
apq,chain-intent,1.05,0.20479143092261878,0.11182588524228997,0.008462836966452877,11.26045875211784,33.86433381809905,101.93670030618271,9.193157516625087,0.010780000000000001,75.31880940163771,52.30601866953655,161.57229048825624,27.94045676936017,69.21179462329461
gcmu,chain-intent,1.05,0.15148294128415535,0.07359525832194996,0.0033399070751857717,4.0410176845924655,10.985458250897095,80.63153763078141,5.468479576871784,0.00455,85.88340131268706,52.302857960802875,226.43046790801105,13.658965694623475,36.411796145541494
edd,chain-intent,1.05,0.14967132193430996,0.13149470746599795,0.014252954003039569,5.972965205214257,26.186821629418873,135.2841421243954,11.50259870286166,0.012225000000000001,87.82411414655476,52.33218862145919,182.45435528660477,10.22915991443792,70.8729155746966
static-tier,chain-full,1.05,0.16524824981500985,0.18291037067537108,0.02297006904319294,7.840848773104088,46.442910868571246,152.66603089627995,15.891760381067188,0.019795000000000004,84.52853748480544,52.31356393310469,168.5450525065309,14.741027236428009,112.84307155275641
cmu-hsf,chain-full,1.05,0.12399691370507082,0.17331973245280013,0.027300114078276483,2.436408488677115,5.344396339446681,76.02307374804376,4.540937115516347,0.03527,92.77777432028469,52.290225770660015,539.9177538457993,3.5076255040247033,12.15723733164778
apq,chain-full,1.05,0.204101559128327,0.10983087159041297,0.00823898163134623,10.975259956241288,32.48268649138861,98.83654899054264,8.617100030998357,0.010894999999999998,75.33304436027143,52.309685502919244,160.1598549341787,28.005944322924442,70.04478160654921
gcmu,chain-full,1.05,0.15268794565861607,0.07370321610510554,0.0034876020932711545,3.892135170115113,10.05887256678447,77.79158343120665,4.99254558561453,0.004710000000000001,85.49297315996827,52.32893277649931,222.49409221023248,14.372699737106158,42.337138972154065
