# dev weight-fit surface. fitted_on=dev fit_rhos=(0.95, 1.05) split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
w_priority,w_sentiment,w_intent,alpha,rel_tardiness,high_mean_wait,low_p95_wait
0.0,1.0,0.0,0.0,0.049319410017355035,12.240060120296102,297.84080877824346
0.0,1.0,0.0,0.5,0.04791848897099029,12.734813464893719,288.83106637866473
0.0,1.0,0.0,1.0,0.04676264588403175,12.851810364419881,278.59070361941184
0.0,1.0,0.0,2.0,0.045843300863223434,13.117315266615648,265.00002135429366
0.0,1.0,0.0,4.0,0.043466593421353165,13.333853896578768,252.35534450188695
0.0,1.0,0.0,8.0,0.04156686697405467,13.746884394550518,237.44710776207208
0.0,1.0,0.0,16.0,0.0405020699152223,14.328121480485615,225.07463416025254
0.05,0.0,0.95,0.0,0.012017292055707519,1.5266841581336008,341.09849028514117
0.05,0.0,0.95,0.5,0.011094964156011624,1.5188366577020365,335.0893430027633
0.05,0.0,0.95,1.0,0.010269991911417344,1.5473270438545477,328.7185267442506
0.05,0.0,0.95,2.0,0.009510766547510593,1.5658996894653512,321.70985899015056
0.05,0.0,0.95,4.0,0.0088544100985135,1.5185004504841737,310.87678811232763
0.05,0.0,0.95,8.0,0.008345593375015208,1.511701072463013,298.19796948267634
0.05,0.0,0.95,16.0,0.007886208134136055,1.5435737828555374,292.35979526260775
0.05,0.05,0.9,0.0,0.012197205059727816,1.5241167423131046,320.5380447254208
0.05,0.05,0.9,0.5,0.010721502616516857,1.5024273741513294,316.4469360696254
0.05,0.05,0.9,1.0,0.00989859759076587,1.5465089471631537,310.6294203586262
0.05,0.05,0.9,2.0,0.009100321074876154,1.566313959281464,302.0778889503694
0.05,0.05,0.9,4.0,0.008246396569383417,1.5768409186574932,288.624903490004
0.05,0.05,0.9,8.0,0.007506587809735306,1.5597948825600056,283.08570675330884
0.05,0.05,0.9,16.0,0.007060134421330887,1.5856281618490877,278.25642947387576
0.05,0.1,0.85,0.0,0.012410154051687541,1.5455282187508363,324.6601149319668
0.05,0.1,0.85,0.5,0.010828435217869569,1.584572015981884,317.22208220800076
0.05,0.1,0.85,1.0,0.009984114971986806,1.4970116184141429,304.4767928329837
0.05,0.1,0.85,2.0,0.009393115530155082,1.563087082590152,298.8268073381585
0.05,0.1,0.85,4.0,0.00837139804295421,1.5410002652894874,284.3936514925137
0.05,0.1,0.85,8.0,0.007573495500086103,1.5546269082896853,276.13562141610987
0.05,0.1,0.85,16.0,0.007109205497711625,1.589223821769404,269.7344953630346
0.05,0.15,0.8,0.0,0.011809817050285625,1.578485168223447,318.1710157960606
0.05,0.15,0.8,0.5,0.010576006287011825,1.5663890938251,312.6146898942456
0.05,0.15,0.8,1.0,0.010157655083100674,1.5547966220713818,306.5548349599946
0.05,0.15,0.8,2.0,0.009286124638742147,1.5557223802911813,296.07819394965503
0.05,0.15,0.8,4.0,0.008544244212403991,1.566644907383176,286.5432040674746
0.05,0.15,0.8,8.0,0.007675936930501739,1.6118300429918004,275.670771348937
0.05,0.15,0.8,16.0,0.0070268440938438875,1.5840582632472249,266.7098206701242
0.05,0.2,0.75,0.0,0.012076523400075858,1.5639927092984671,326.216431415563
0.05,0.2,0.75,0.5,0.01066331583843553,1.6216207326131853,313.5788852680923
0.05,0.2,0.75,1.0,0.0100774601080339,1.6024958240265441,304.7002533463058
0.05,0.2,0.75,2.0,0.009408327404024485,1.5831107979464571,294.9691451357426
0.05,0.2,0.75,4.0,0.008438754136648897,1.5687696993184679,285.2795790391923
0.05,0.2,0.75,8.0,0.007910973528233537,1.5762477320238737,274.37729609643185
0.05,0.2,0.75,16.0,0.007125884410681435,1.624599929228727,266.95829566552896
0.05,0.25,0.7,0.0,0.012307583190371145,1.6054955666211441,322.9283745503522
0.05,0.25,0.7,0.5,0.01086756327992571,1.6228740068985241,312.65403579808833
0.05,0.25,0.7,1.0,0.010128005596608704,1.642686799841184,305.7103503137191
0.05,0.25,0.7,2.0,0.009563910704179387,1.6139395633107967,294.41768091160367
0.05,0.25,0.7,4.0,0.008542131559741368,1.6236692766354661,284.53156578436284
0.05,0.25,0.7,8.0,0.008014971014332939,1.64485352034917,277.834960421779
0.05,0.25,0.7,16.0,0.007121312390987063,1.626567653384475,264.2305209702904
0.05,0.3,0.65,0.0,0.012403278706678284,1.5972497306358922,327.8965473947486
0.05,0.3,0.65,0.5,0.010999469539849102,1.683615589408701,315.9265184941967
0.05,0.3,0.65,1.0,0.01025640390078132,1.6195750701218212,306.2891629806608
0.05,0.3,0.65,2.0,0.009509705478969609,1.6155022224482556,295.6666313302514
0.05,0.3,0.65,4.0,0.008669751678453423,1.6744810447684715,285.45840280710075
0.05,0.3,0.65,8.0,0.007929104503679492,1.6771777942134973,276.85392392160037
0.05,0.3,0.65,16.0,0.007196020682609136,1.6394325138772847,265.20661192435324
0.05,0.35,0.6,0.0,0.012426659623215,1.619180505431972,321.9420046355408
0.05,0.35,0.6,0.5,0.01114886527546325,1.6310903686852238,314.53056223205715
0.05,0.35,0.6,1.0,0.01029039185827252,1.5857643054546189,305.78132929925283
0.05,0.35,0.6,2.0,0.009445037122144442,1.6514905544232412,295.76980968138196
0.05,0.35,0.6,4.0,0.008610213554814212,1.6196062285128194,285.2544828089357
0.05,0.35,0.6,8.0,0.0077746252714453595,1.6891040284210301,279.2180130876889
0.05,0.35,0.6,16.0,0.0071238813148003345,1.6916439220660429,265.87164123934195
0.05,0.4,0.55,0.0,0.012799093342488544,1.6306705240839208,321.1009214259101
0.05,0.4,0.55,0.5,0.011207580508927048,1.5954287658106576,319.2096342446809
0.05,0.4,0.55,1.0,0.010542257375760866,1.6531193960302761,310.18800314825916
0.05,0.4,0.55,2.0,0.009417065770619014,1.668028580234088,295.4084729485309
0.05,0.4,0.55,4.0,0.008661618011119943,1.5678755346895503,287.76725243245846
0.05,0.4,0.55,8.0,0.007859310834230459,1.666483071109279,279.0733749725717
0.05,0.4,0.55,16.0,0.007136890263387774,1.6757336056097067,264.2728842861477
0.05,0.45,0.5,0.0,0.012851561069308971,1.645024687764976,327.76826810820097
0.05,0.45,0.5,0.5,0.011316617738245433,1.642289150864851,316.60714184773406
0.05,0.45,0.5,1.0,0.01041141260642342,1.6719894628703649,304.1576721964712
0.05,0.45,0.5,2.0,0.009619691313565779,1.668992870841117,295.0205465662651
0.05,0.45,0.5,4.0,0.008691531524573063,1.6071350977995216,287.8054223917996
0.05,0.45,0.5,8.0,0.007942107958356417,1.6206678370325092,278.7280966376174
0.05,0.45,0.5,16.0,0.007021220742175319,1.6932166691692483,261.7994372920029
0.05,0.5,0.45,0.0,0.012994611085874205,1.7238411694174356,330.1030837116479
0.05,0.5,0.45,0.5,0.011326112792500884,1.6770316296413048,313.8225222907605
0.05,0.5,0.45,1.0,0.01060330610183461,1.7206194969727262,304.58409865449727
0.05,0.5,0.45,2.0,0.009698392158709443,1.68020212177751,295.90211659072355
0.05,0.5,0.45,4.0,0.008777696931904487,1.662891523924199,284.1116920361718
0.05,0.5,0.45,8.0,0.007854145985626457,1.6944779555879788,273.95690912216367
0.05,0.5,0.45,16.0,0.007043950432649655,1.7700922512203743,257.87919469707424
0.05,0.55,0.4,0.0,0.013131613538678595,1.7791947266771029,322.0334390014809
0.05,0.55,0.4,0.5,0.011435349634850956,1.7510654879175,310.9066509331234
0.05,0.55,0.4,1.0,0.01053307027098487,1.7375186295422445,303.9248468019892
0.05,0.55,0.4,2.0,0.009668321830421173,1.7155171283303297,294.54892550167233
