# Layer 3 tested: mean gold-High wait per track MINUS english, bootstrapped over simulation seeds. `spread_biased` is max-minus-min across tracks and is upward-biased by noise -- FIFO scores 16 min on it. Use the contrasts. split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
rho,policy,track,minus_english,ci_lo,ci_hi,significant,spread_biased
0.95,tier - tus (paired),tamil,-0.08825878711032843,-0.472605935134941,0.30055252645009306,False,
0.95,tier - tus (paired),tamilish,1.7972048582927798,1.3694979473548667,2.282872653972533,True,
1.05,fifo,singlish,-0.8464007664905725,-2.2312694815755267,0.49709593147311165,False,16.218859650014863
1.05,fifo,sinhala,-0.22482715916906007,-1.5997740084282477,1.1881654708303626,False,16.218859650014863
1.05,fifo,tamil,-0.2306647083452815,-1.8511643855509683,1.4355509589636584,False,16.218859650014863
1.05,fifo,tamilish,-0.8166790439092766,-2.2499893698517153,0.5923715340519129,False,16.218859650014863
1.05,tier,singlish,4.069676015422279,2.962234769273606,5.210070264005446,True,13.791517209875938
1.05,tier,sinhala,0.3735899563511812,-0.5608423653337395,1.3022555912770324,False,13.791517209875938
1.05,tier,tamil,-0.007275428082441202,-1.069230762160428,1.065231234696414,False,13.791517209875938
1.05,tier,tamilish,6.986698570822105,5.760230994928478,8.191583620294672,True,13.791517209875938
1.05,tus,singlish,0.3695606615090699,0.04957135766503434,0.6812878351099309,True,2.1725193699900376
1.05,tus,sinhala,0.24302911366227792,-0.01852630545622943,0.4910302771010775,False,2.1725193699900376
1.05,tus,tamil,0.016275638925338197,-0.21063994750699458,0.2189963202706717,False,2.1725193699900376
1.05,tus,tamilish,0.49851800794236456,0.2562155039645825,0.7195208789830644,True,2.1725193699900376
1.05,oracle,singlish,-0.020290172558925325,-0.08686796891064609,0.04488108759100517,False,0.7637155578703174
1.05,oracle,sinhala,0.004289970303829511,-0.061236853134605695,0.06766709036322392,False,0.7637155578703174
1.05,oracle,tamil,0.0037527941477147743,-0.06589286532856771,0.07331284092760217,False,0.7637155578703174
1.05,oracle,tamilish,-0.007752929905459075,-0.07087976133025731,0.05592983924108232,False,0.7637155578703174
1.05,tier - tus (paired),singlish,3.70011535391321,2.565966965937183,4.850181082427352,True,
1.05,tier - tus (paired),sinhala,0.13056084268890322,-0.755402229624368,1.0661477898139389,False,
1.05,tier - tus (paired),tamil,-0.023551067007779362,-1.0233663260625365,0.9756186433020814,False,
1.05,tier - tus (paired),tamilish,6.488180562879739,5.322004573032133,7.765753359536535,True,
