# Layer 2 raw replications. split=e7b5934392cd label_version=v8 sla_high=30.0 sla_med=120.0 sla_low=480.0 agents=5 service_mean=8.0min tickets_per_rep=1000 generated_by=run_system_eval.py
policy,rho,seed,high_mean_wait,high_p95_wait,low_p95_wait,mean_wait,sla_breach_rate,high_sla_breach_rate,rel_tardiness,high_rel_tardiness,low_rel_tardiness
random,0.85,95,2.213963927507572,6.888916332477867,28.824294171533055,6.083076741585686,0.003,0.010309278350515464,0.0013658178782484298,0.006870585359279511,0.0
random,0.85,96,9.537784998972127,48.1988306333144,33.31105134311179,6.8806261032603295,0.006,0.056179775280898875,0.01750718871214314,0.19614553531838633,0.0
random,0.85,97,25.220057671289695,183.1194332424559,96.59884207027906,20.793965060333154,0.035,0.15306122448979592,0.0879804629224605,0.5880979405809584,0.0009712131901988564
random,0.85,98,15.789386959881668,109.4339542662727,75.89011233394807,15.202816690713982,0.025,0.11904761904761904,0.04023369904926462,0.34252916053797694,0.0
random,0.85,99,3.851300071139087,30.47198320717851,28.53775039361972,4.19951762359661,0.005,0.05434782608695652,0.0018431033792830323,0.02003373238351122,0.0
random,0.85,100,4.441366320238495,26.24777614719059,18.084909809234205,4.082268031656086,0.005,0.047619047619047616,0.001383759204953356,0.01591193366379021,0.0
random,0.85,101,3.7486041007524142,10.341692717329323,19.533973682068336,4.0099864746717255,0.003,0.02830188679245283,0.0040234949204464064,0.0379574992494944,0.0
random,0.85,102,3.0467710293408015,13.279169017463792,30.600484346835618,5.8644747017792795,0.003,0.008849557522123894,0.0004784135966682072,0.003740791285157292,0.0
random,0.85,103,2.981703693244393,14.846165057167894,20.767496912778714,3.2632669445225067,0.002,0.01904761904761905,0.0013223143719317313,0.012593470208873631,0.0
random,0.85,104,2.4517567501166795,12.050763057087837,12.967147654543929,3.5354075003265133,0.0,0.0,0.0,0.0,0.0
random,0.85,105,9.500606122682862,37.36131005238681,32.09521664798602,6.864504239951559,0.008,0.054945054945054944,0.01847448986122353,0.1852434076953875,0.0
random,0.85,106,3.2524204516884074,15.755255404540373,18.336126842791433,3.392914272801746,0.004,0.028037383177570093,0.003274481001308717,0.02967731179502198,0.0
random,0.85,107,5.522046972159579,31.359977356332752,22.882190483571758,4.412233312146795,0.006,0.05825242718446602,0.005787145926986244,0.05618588278627421,0.0
random,0.85,108,3.18440008596359,14.719676009086845,43.59563285142152,8.042211005251758,0.008,0.037037037037037035,0.0027659515499844525,0.010656634676177416,0.0
random,0.85,109,3.0876878949461863,13.571449672815241,16.70486458612551,3.725745616533726,0.002,0.02247191011235955,0.0021282020833171926,0.02391238295862014,0.0
random,0.85,110,4.4462267912020295,21.33009345951423,20.76046826481663,4.8509496778347545,0.007,0.042105263157894736,0.0028312733069815977,0.027723334703923425,0.0
random,0.85,111,3.417685597163731,13.809192912617892,11.875085134228982,2.863586286423056,0.004,0.0392156862745098,0.0025667002695651015,0.02516372813299119,0.0
random,0.85,112,7.590747068075768,31.85709560693182,38.69237003951207,7.134238290565638,0.014,0.0673076923076923,0.014101467897145567,0.09983791183887392,0.0
random,0.85,113,14.537908917224367,81.12746823015775,22.04443734138287,8.396354828631377,0.019,0.10309278350515463,0.03520464414201044,0.2960506767897675,0.0
random,0.85,114,4.562045570981097,23.8032049529199,21.969515589529607,4.884920526432173,0.006,0.0392156862745098,0.0011670531488920833,0.010653206114362428,0.0
random,0.85,115,11.54369376254182,52.27235762008957,43.715766839906436,8.567400980669442,0.014,0.10576923076923077,0.01784450820340932,0.16682987461534718,0.0
random,0.85,116,5.453697221539476,27.00214595482353,26.033351748024295,4.971908578993999,0.004,0.041237113402061855,0.004803450846938231,0.04952011182410548,0.0
random,0.85,117,4.220642492880011,21.205478631126127,22.28206945800394,5.133842671620367,0.003,0.022222222222222223,0.0016839393756536319,0.015967914332506904,0.0
random,0.85,118,4.837918198403504,27.761399000636107,21.239810585622166,3.921544812464529,0.003,0.03529411764705882,0.0017048028750357373,0.020056504412185146,0.0
random,0.85,119,7.408920921411875,37.63423128588621,22.441639298922354,5.3247727201365525,0.006,0.058823529411764705,0.009182571427836754,0.09848016040325447,0.0
random,0.85,120,4.18312774717775,15.106215322379283,17.6758388237757,3.602283511413749,0.003,0.028037383177570093,0.0027415372588180274,0.025621843540355398,0.0
random,0.85,121,3.9985361475669814,14.621191246315675,16.406396978329255,3.582158115370749,0.003,0.009900990099009901,0.004308076673373593,0.03939215579787287,0.0
random,0.85,122,2.460734673408884,11.054156870640483,13.538463210692427,2.7964360998902835,0.001,0.009433962264150943,0.000823898647333571,0.007772628748429915,0.0
random,0.85,123,14.929372581792808,58.75571021370729,46.75708637186599,12.75799490013341,0.02,0.08641975308641975,0.031746297527877776,0.292770632836307,0.00039014697935426014
random,0.85,124,3.865036889148961,19.13597469286572,25.80309448292552,6.414088727035876,0.008,0.028846153846153848,0.004622874362308638,0.008407598396070899,0.0
random,0.85,125,3.678869176986826,8.270171804533607,16.032197868761784,3.4314883569125953,0.002,0.021052631578947368,0.004022797773548454,0.04234523972156268,0.0
random,0.85,126,4.431467828363169,18.183063155311082,20.53330370087465,3.95534611769118,0.006,0.043478260869565216,0.003126237175950326,0.03117691768580794,0.0
random,0.85,127,4.833109663951244,22.884274622814953,19.263917817042547,4.850386389834203,0.005,0.04081632653061224,0.0035341480200376117,0.02898080252783778,0.0
random,0.85,128,3.4763090857554464,11.575285068082035,19.397915326832653,3.341851987833308,0.003,0.034482758620689655,0.0032664655740825845,0.037545581311294075,0.0
random,0.85,129,4.6591717409613045,11.225620109012674,24.09545102118329,7.16893580498182,0.008,0.020833333333333332,0.010377456453692525,0.06594277754697185,0.0
random,0.85,130,6.3044501646897215,23.674186386409506,26.15659236421971,5.339286949636375,0.006,0.042735042735042736,0.008321888049936851,0.06956617417515525,0.0
random,0.85,131,1.9729694073613329,9.603955879656993,8.848117101602337,1.712846420163865,0.0,0.0,0.0,0.0,0.0
random,0.85,132,2.969782356516438,12.379209839068334,16.57122427856244,3.6506800382333213,0.001,0.011904761904761904,0.0013669236448342796,0.016272900533741426,0.0
random,0.85,133,3.5896211559819693,11.278370647203364,21.02782814416868,4.356836586192168,0.002,0.020618556701030927,0.0036556335250740933,0.03768694355746488,0.0
random,0.85,134,15.395172778435487,75.695086686025,66.46496321624947,11.855458524884464,0.019,0.12643678160919541,0.02980239474653649,0.2743807631014612,0.0
random,0.85,135,3.599789892636379,12.219625997202797,13.963464979861461,3.7034781546464135,0.002,0.023255813953488372,0.002382777056938626,0.02770670996440263,0.0
random,0.85,136,7.275463392222075,38.13494498681076,27.020472203942198,5.495478429087077,0.008,0.07017543859649122,0.0083110518297674,0.07290396341901229,0.0
random,0.85,137,4.6950985219839785,11.479982187036176,18.68229167913693,4.76128016634316,0.003,0.02912621359223301,0.005364962699486102,0.05208701649986507,0.0
random,0.85,138,16.612275143496692,58.78814048958691,74.48571897680202,15.665748034768676,0.023,0.13725490196078433,0.0390040333769922,0.2888568100907522,0.0002808954153486574
random,0.85,139,1.4900923577309755,5.443939754524836,13.277133954424013,2.8781459302353443,0.0,0.0,0.0,0.0,0.0
random,0.85,140,3.3286850398539083,16.61543395455186,24.23236879819594,4.207645880434699,0.002,0.02197802197802198,0.0008360067562359954,0.009186887431164784,0.0
random,0.85,141,7.601275666975914,52.12686764353815,25.547242009777538,4.785465759764756,0.007,0.07777777777777778,0.009378399854516118,0.10420444282795689,0.0
random,0.85,142,2.7490944825100176,15.865078257369488,10.410430207176914,2.6407749173086907,0.0,0.0,0.0,0.0,0.0
random,0.85,143,3.5364276758569773,15.186134067918063,14.863130679808705,2.7746875753786786,0.003,0.02654867256637168,0.0012360944436674993,0.010938888882013267,0.0
random,0.85,144,1.890061214320526,7.840467888773645,8.402099660205703,2.002878000564868,0.001,0.010101010101010102,0.00035821060398933844,0.003618288929185237,0.0
random,0.85,145,2.9963543550695797,15.49540233226543,18.617608877077313,3.660429421424749,0.0,0.0,0.0,0.0,0.0
random,0.85,146,4.745488893876748,24.938360371417087,35.41862748095046,7.962010437293636,0.007,0.027777777777777776,0.005083343932165081,0.02411711399367005,0.0
random,0.85,147,3.439413990921168,9.269776308620038,15.551473784425932,3.8116651388022365,0.005,0.04395604395604396,0.002189470810790697,0.023116586951170623,0.0
random,0.85,148,3.986293645877476,11.44137515862435,9.914884430817821,3.2842554858351365,0.001,0.011363636363636364,0.002723352403607176,0.030947186404627,0.0
random,0.85,149,7.398596517891106,30.10889556475605,38.93101871051,7.512816285298555,0.008,0.056179775280898875,0.009345153382164328,0.09025492783324561,0.0
random,0.85,150,5.097309905628984,20.887049700873106,23.753085988870243,4.51836118985868,0.004,0.03260869565217391,0.004701520044315415,0.04911356520869571,0.0
random,0.85,151,6.470718025325832,28.389306745185,26.813539911469356,6.603417247115305,0.013,0.050505050505050504,0.01146175153747445,0.06284702229069027,0.0
random,0.85,152,5.679828078126092,30.149020867288552,20.543755226872438,5.9388221562512795,0.006,0.053763440860215055,0.00728746290155635,0.06559636527850413,0.0
random,0.85,153,9.521297526587919,35.75328825520981,30.961119516755893,7.800393858520305,0.017,0.0989010989010989,0.021778831051075843,0.1751561196376041,0.0
random,0.85,154,4.002279852274297,16.696849894451127,21.845357783829765,5.080268714182629,0.005,0.0380952380952381,0.0032731547789082408,0.025078330310242102,0.0
random,0.85,155,4.072816901234257,21.247667425198983,19.932826964841496,3.4282959213318875,0.004,0.04395604395604396,0.0021481438659693253,0.023605976549113464,0.0
random,0.85,156,5.415858044007968,23.898778597178023,19.13716502707245,4.019419655064162,0.005,0.04716981132075472,0.003540166271568944,0.033397795014801356,0.0
random,0.85,157,4.958323914357371,17.181874686276682,28.27140599191009,5.8071747484956076,0.006,0.030612244897959183,0.005314572790069992,0.04135682379986459,0.0
random,0.85,158,9.800348444079901,68.37905423240313,24.66350413996457,5.560025231470373,0.006,0.061855670103092786,0.014324648329042202,0.1476767868973423,0.0
random,0.85,159,2.9495024559495135,12.493204476859326,24.420857423441905,5.885768764255091,0.005,0.010526315789473684,0.004399579205029394,0.010576527686684602,0.0
random,0.85,160,1.864148254618756,5.589367904895937,12.825894236491362,2.482986659112061,0.001,0.012195121951219513,0.0001022080322585983,0.0012464394177877842,0.0
random,0.85,161,2.674970582123742,10.481392738045159,19.864162203828457,3.504021950156401,0.002,0.02197802197802198,0.0009776884903032032,0.010743829563771465,0.0
random,0.85,162,8.205371902129386,32.5181791405629,53.55876278894888,14.71358785398984,0.018,0.06521739130434782,0.016949752786935772,0.09939856409972024,0.0049238516456281585
random,0.85,163,11.219489292094787,34.79154617721181,23.69669816729502,8.63483098122057,0.013,0.05555555555555555,0.0242640686545586,0.2191296661034222,0.0
random,0.85,164,11.598376228287421,60.902796624924946,43.55979538080913,8.537700313220823,0.011,0.08433734939759036,0.01919473155498914,0.20795667276342206,0.0
random,0.85,165,9.327091335760398,38.636148446361915,26.515438860520973,8.812522119131883,0.013,0.06930693069306931,0.024292070619867136,0.16559127540860408,0.0
random,0.85,166,12.486017380911429,51.54542170100276,41.42860594393697,9.049887177576881,0.014,0.11904761904761904,0.018225228000442538,0.20303459203648863,0.0
random,0.85,167,3.292513725088817,19.39013591977087,31.98096148712216,5.0016223834189475,0.001,0.012048192771084338,0.00033854116302515347,0.004078809193074138,0.0
random,0.85,168,3.5060303705750937,25.07239254009849,12.858766077365681,2.8735613183730373,0.005,0.04504504504504504,0.0017492449492513154,0.015758963506768607,0.0
random,0.85,169,6.417779166221403,32.245791397966194,39.60376928689146,7.8909113434255165,0.011,0.06542056074766354,0.007807070430389723,0.043316873745614465,0.0
random,0.85,170,8.459627071871498,50.976524435255556,27.531778253473387,6.547125434646768,0.01,0.07692307692307693,0.012514407125540198,0.11665559982517973,0.0
random,0.85,171,21.9883376556765,147.3196810408116,95.64416807954568,20.372602310723188,0.027,0.11538461538461539,0.06830587349525638,0.4744050477962457,0.004659535360703405
random,0.85,172,7.581170542283393,37.4417850741265,20.56554400105834,6.157906818931062,0.009,0.06382978723404255,0.008656850660446675,0.07250901257762862,0.0
random,0.85,173,2.261827144844338,10.457612029761535,15.448443017130733,2.8315665703795485,0.001,0.011494252873563218,0.0008921693953289453,0.01025482063596489,0.0
random,0.85,174,3.5217939747789275,15.057371639396047,24.451931544671645,4.5137889798538815,0.004,0.02857142857142857,0.0008655361435473348,0.008020111163761617,0.0
random,0.85,175,4.742229253937623,22.39052694381543,21.862512510313383,4.417154523447053,0.003,0.030612244897959183,0.0006087170760469045,0.006211398735172495,0.0
random,0.85,176,2.758894665366652,13.01113409559025,18.516388520360636,3.2943815998944337,0.001,0.009900990099009901,0.00010765970079164617,0.0010659376316004571,0.0
