Model,Language,Intent_Class,Precision,Recall,F1_Score,Support
Logistic Regression,singlish,country_support,88.64,97.5,92.86,40
Logistic Regression,singlish,declined_card_payment,81.25,97.5,88.64,40
Logistic Regression,singlish,declined_cash_withdrawal,72.22,97.5,82.98,40
Logistic Regression,singlish,declined_transfer,100.0,75.0,85.71,40
Logistic Regression,singlish,direct_debit_payment_not_recognised,100.0,82.5,90.41,40
Logistic Regression,singlish,disposable_card_limits,78.26,90.0,83.72,40
Logistic Regression,singlish,edit_personal_details,92.68,95.0,93.83,40
Logistic Regression,singlish,exchange_charge,92.31,90.0,91.14,40
Logistic Regression,singlish,exchange_rate,75.0,97.5,84.78,40
Logistic Regression,singlish,exchange_via_app,86.96,50.0,63.49,40
Logistic Regression,singlish,extra_charge_on_statement,96.77,75.0,84.51,40
Logistic Regression,singlish,failed_transfer,77.08,92.5,84.09,40
Logistic Regression,singlish,fiat_currency_support,77.78,87.5,82.35,40
Logistic Regression,singlish,get_disposable_virtual_card,93.33,70.0,80.0,40
Logistic Regression,singlish,get_physical_card,63.93,97.5,77.23,40
Logistic Regression,singlish,getting_spare_card,72.73,60.0,65.75,40
Logistic Regression,singlish,getting_virtual_card,79.17,95.0,86.36,40
Logistic Regression,singlish,lost_or_stolen_card,76.09,87.5,81.4,40
Logistic Regression,singlish,lost_or_stolen_phone,100.0,90.0,94.74,40
Logistic Regression,singlish,order_physical_card,83.78,77.5,80.52,40
Logistic Regression,singlish,passcode_forgotten,100.0,100.0,100.0,40
Logistic Regression,singlish,pending_card_payment,97.14,85.0,90.67,40
Logistic Regression,singlish,pending_cash_withdrawal,100.0,90.0,94.74,40
Logistic Regression,singlish,pending_top_up,75.0,90.0,81.82,40
Logistic Regression,singlish,pending_transfer,77.5,77.5,77.5,40
Logistic Regression,singlish,pin_blocked,89.47,85.0,87.18,40
Logistic Regression,singlish,receiving_money,94.74,90.0,92.31,40
Logistic Regression,singlish,request_refund,94.44,85.0,89.47,40
Logistic Regression,singlish,reverted_card_payment?,89.19,82.5,85.71,40
Logistic Regression,singlish,supported_cards_and_currencies,87.5,87.5,87.5,40
Logistic Regression,singlish,terminate_account,81.25,97.5,88.64,40
Logistic Regression,singlish,top_up_by_bank_transfer_charge,72.92,87.5,79.55,40
Logistic Regression,singlish,top_up_by_card_charge,91.89,85.0,88.31,40
Logistic Regression,singlish,top_up_by_cash_or_cheque,94.12,80.0,86.49,40
Logistic Regression,singlish,top_up_failed,81.82,67.5,73.97,40
Logistic Regression,singlish,top_up_limits,92.68,95.0,93.83,40
Logistic Regression,singlish,top_up_reverted,77.27,85.0,80.95,40
Logistic Regression,singlish,topping_up_by_card,73.81,77.5,75.61,40
Logistic Regression,singlish,transaction_charged_twice,88.89,100.0,94.12,40
Logistic Regression,singlish,transfer_fee_charged,88.24,75.0,81.08,40
Logistic Regression,singlish,transfer_into_account,88.57,77.5,82.67,40
Logistic Regression,singlish,transfer_not_received_by_recipient,80.56,72.5,76.32,40
Logistic Regression,singlish,transfer_timing,80.95,85.0,82.93,40
Logistic Regression,singlish,unable_to_verify_identity,87.8,90.0,88.89,40
Logistic Regression,singlish,verify_my_identity,68.63,87.5,76.92,40
Logistic Regression,singlish,verify_source_of_funds,88.89,100.0,94.12,40
Logistic Regression,singlish,verify_top_up,100.0,100.0,100.0,40
Logistic Regression,singlish,virtual_card_not_working,100.0,90.0,94.74,40
Logistic Regression,singlish,visa_or_mastercard,92.5,92.5,92.5,40
Logistic Regression,singlish,why_verify_identity,93.1,67.5,78.26,40
Logistic Regression,singlish,wrong_amount_of_cash_received,78.05,80.0,79.01,40
Logistic Regression,singlish,wrong_exchange_rate_for_cash_withdrawal,95.24,50.0,65.57,40
Logistic Regression,tamil,Refund_not_showing_up,100.0,10.0,18.18,40
Logistic Regression,tamil,activate_my_card,95.0,95.0,95.0,40
Logistic Regression,tamil,age_limit,97.56,100.0,98.77,40
Logistic Regression,tamil,apple_pay_or_google_pay,100.0,100.0,100.0,40
Logistic Regression,tamil,atm_support,97.22,89.74,93.33,39
Logistic Regression,tamil,automatic_top_up,100.0,90.0,94.74,40
