id,language,tokenizer,model_id,word_count,subword_count,seq_length,fragmentation_ratio,unk_rate,trunc_64,trunc_128,trunc_256,trunc_512
8668,english,xlm_roberta,xlm-roberta-base,21,26,28,1.2381,0.0,0,0,0,0
9546,english,xlm_roberta,xlm-roberta-base,8,11,13,1.375,0.0,0,0,0,0
8803,english,xlm_roberta,xlm-roberta-base,7,12,14,1.7143,0.0,0,0,0,0
9770,english,xlm_roberta,xlm-roberta-base,7,9,11,1.2857,0.0,0,0,0,0
4463,english,xlm_roberta,xlm-roberta-base,59,69,71,1.1695,0.0,1,0,0,0
7751,english,xlm_roberta,xlm-roberta-base,5,9,11,1.8,0.0,0,0,0,0
9901,english,xlm_roberta,xlm-roberta-base,6,7,9,1.1667,0.0,0,0,0,0
7868,english,xlm_roberta,xlm-roberta-base,12,14,16,1.1667,0.0,0,0,0,0
933,english,xlm_roberta,xlm-roberta-base,8,12,14,1.5,0.0,0,0,0,0
2188,english,xlm_roberta,xlm-roberta-base,26,29,31,1.1154,0.0,0,0,0,0
3062,english,xlm_roberta,xlm-roberta-base,6,8,10,1.3333,0.0,0,0,0,0
6938,english,xlm_roberta,xlm-roberta-base,9,10,12,1.1111,0.0,0,0,0,0
8353,english,xlm_roberta,xlm-roberta-base,12,12,14,1.0,0.0,0,0,0,0
5306,english,xlm_roberta,xlm-roberta-base,7,8,10,1.1429,0.0,0,0,0,0
5832,english,xlm_roberta,xlm-roberta-base,33,39,41,1.1818,0.0,0,0,0,0
6923,english,xlm_roberta,xlm-roberta-base,12,13,15,1.0833,0.0,0,0,0,0
6788,english,xlm_roberta,xlm-roberta-base,7,9,11,1.2857,0.0,0,0,0,0
3016,english,xlm_roberta,xlm-roberta-base,11,12,14,1.0909,0.0,0,0,0,0
819,english,xlm_roberta,xlm-roberta-base,10,13,15,1.3,0.0,0,0,0,0
7844,english,xlm_roberta,xlm-roberta-base,7,9,11,1.2857,0.0,0,0,0,0
657,english,xlm_roberta,xlm-roberta-base,12,16,18,1.3333,0.0,0,0,0,0
8576,english,xlm_roberta,xlm-roberta-base,14,18,20,1.2857,0.0,0,0,0,0
18,english,xlm_roberta,xlm-roberta-base,15,18,20,1.2,0.0,0,0,0,0
7020,english,xlm_roberta,xlm-roberta-base,16,22,24,1.375,0.0,0,0,0,0
3705,english,xlm_roberta,xlm-roberta-base,5,6,8,1.2,0.0,0,0,0,0
3697,english,xlm_roberta,xlm-roberta-base,6,7,9,1.1667,0.0,0,0,0,0
